order,start_time,end_time,collection_key,subject,behavior_label,units,event_timestamps,cluster
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,2,"[878.0, 982.0, 1357.0, 2789.0, 6117.0, 6204.0, 6549.0, 6780.0, 6913.0, 7101.0, 7523.0, 7956.0, 10366.0, 10591.0, 11309.0, 11795.0, 11910.0, 11999.0, 12078.0, 12156.0, 12260.0, 13272.0, 16211.0, 16532.0, 16692.0, 16839.0, 16911.0, 17197.0, 17811.0, 18664.0, 25135.0, 26027.0, 26351.0]",10
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,26,"[4280.0, 5347.0, 6019.0, 7574.0, 7867.0, 8293.0, 8735.0, 9360.0, 9715.0, 10122.0, 12601.0, 15737.0, 17572.0, 17871.0, 18143.0, 18477.0, 19074.0, 20805.0, 21689.0, 22206.0, 23124.0, 23659.0]",23
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,196,"[1525.0, 1716.0, 1891.0, 2034.0, 2277.0, 2841.0, 3728.0, 3863.0, 4203.0, 4781.0, 6159.0, 6319.0, 6830.0, 7173.0, 8371.0, 9918.0, 10486.0, 11107.0, 11784.0, 12494.0, 12807.0, 13502.0, 13914.0, 14359.0, 14526.0, 14873.0, 15592.0, 18005.0, 18197.0, 18266.0, 18916.0, 19291.0, 21226.0, 21424.0, 21767.0, 21923.0, 22298.0, 22854.0, 23298.0, 24546.0, 25014.0, 25499.0]",59
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,113,"[197.0, 2329.0, 4028.0, 5883.0, 6712.0, 13789.0, 16416.0, 17362.0]",38
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,91,"[4391.0, 14654.0, 25357.0]",29
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,267,"[347.0, 2521.0, 2948.0, 4475.0, 5433.0, 6266.0, 6657.0, 7650.0, 8256.0, 11549.0, 11765.0, 12909.0, 13903.0, 13992.0, 14189.0, 14373.0, 16590.0, 16854.0, 18363.0, 18806.0, 18993.0, 19480.0, 20951.0, 21579.0, 22379.0, 22584.0, 22882.0, 25432.0, 25893.0]",15
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,80,"[2912.0, 10524.0, 12098.0, 17966.0]",33
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,15,"[1445.0, 4410.0, 5333.0, 7628.0, 8083.0, 8187.0, 12206.0, 12348.0, 12690.0, 13388.0, 16946.0, 18076.0, 18112.0, 18839.0, 19546.0, 19628.0, 20101.0, 21178.0, 21379.0, 21605.0, 21646.0, 22521.0, 24561.0]",21
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,17,"[1294.0, 2012.0, 3915.0, 4345.0, 5258.0, 6067.0, 6876.0, 7904.0, 8045.0, 8610.0, 8859.0, 9890.0, 10233.0, 12115.0, 12230.0, 12787.0, 12938.0, 14974.0, 17347.0, 17387.0, 17782.0, 17954.0, 18286.0, 18421.0, 19217.0, 19729.0, 20152.0, 21490.0, 21549.0, 23349.0, 24531.0]",13
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,29,"[5688.0, 8682.0, 9137.0, 17538.0]",33
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,41,"[920.0, 5866.0, 9746.0, 10668.0, 12893.0, 14700.0, 15403.0, 16193.0, 16958.0, 23594.0]",44
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,136,"[3740.0, 15335.0]",30
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,25,"[180.0, 3635.0, 5645.0, 6473.0, 7058.0, 7203.0, 9170.0, 10007.0, 12436.0, 17890.0, 20031.0, 20199.0, 23625.0]",3
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,16,"[429.0, 1684.0, 3891.0, 4156.0, 5129.0, 7438.0, 7993.0, 10297.0, 13162.0, 13550.0, 17045.0, 19252.0, 20373.0, 23260.0, 23531.0, 23576.0, 24252.0]",8
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,79,[12320.0],28
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,266,[],27
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,137,[],27
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,188,"[379.0, 6441.0, 11203.0, 12334.0, 12829.0, 14717.0, 15482.0, 25102.0]",38
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,180,"[9081.0, 12134.0, 17430.0, 22631.0]",33
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,248,"[14455.0, 15923.0, 20708.0, 24044.0]",33
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,163,[],27
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,178,"[1021.0, 2375.0, 2808.0, 4531.0, 4937.0, 8316.0, 9489.0, 10778.0, 11294.0, 16277.0, 22099.0, 23062.0]",42
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,202,[3023.0],28
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,57,"[4636.0, 8159.0, 10352.0, 10645.0, 17414.0, 21838.0]",36
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,56,[4845.0],28
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,102,[6617.0],28
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,141,"[8202.0, 23476.0]",30
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,28,"[8834.0, 18305.0]",30
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,73,[9938.0],28
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,40,"[10099.0, 19856.0]",30
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,112,[11335.0],28
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,173,[11723.0],28
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,166,"[13950.0, 20396.0, 23565.0]",29
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,165,"[20859.0, 21784.0]",30
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,69,[],27
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,71,[],27
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,200,[],27
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,34,[],27
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,181,[],27
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,138,[],27
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,260,[],27
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,171,[],27
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,226,[],27
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,175,[],27
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,27,[],27
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,155,[],27
